year,Price,kms_driven,fuel_type,Brand,Model
2013,330000.0,80200.0,Diesel,Mahindra,Bolero SLE BS IV
2015,580000.0,3200.0,Diesel,Force,Motors Force One LX ABS 7 STR
2013,340000.0,48000.0,Diesel,Skoda,Rapid Elegance 1.6 TDI CR MT
2011,120000.0,90000.0,Diesel,Tata,Vista Quadrajet VX
2015,265000.0,12000.0,Petrol,Maruti,Suzuki Alto K10 VXi AT
2012,265000.0,46000.0,Diesel,Maruti,Suzuki SX4
2003,85000.0,69900.0,Petrol,Maruti,Suzuki Zen LXi BS III
2019,379000.0,0.0,Diesel,Mahindra,Jeep CL550 MDI
2011,175000.0,45000.0,Petrol,Hyundai,i10 Magna 1.2
2015,219000.0,5000.0,Petrol,Maruti,Suzuki Alto 800
2016,350000.0,166000.0,Diesel,Maruti,Suzuki Swift Dzire Tour LDi
2008,149000.0,42000.0,Petrol,Honda,City ZX EXi
2018,385000.0,588.0,Diesel,Mahindra,Jeep CL550 MDI
2006,425000.0,122.0,Diesel,Mahindra,Jeep MM 550 XDB
2017,150000.0,62000.0,Diesel,Chevrolet,Beat Diesel
2010,225000.0,70000.0,Petrol,Honda,City 1.5 S MT
2014,375000.0,36000.0,Petrol,Hyundai,Verna 1.4 VTVT
2012,770000.0,0.0,Diesel,Toyota,Innova 2.5 E MS 7 STR BS IV
1995,30000.0,55000.0,Petrol,Maruti,Suzuki Maruti 800 Std – Befo
2011,275000.0,36000.0,Diesel,Toyota,Etios
2015,330000.0,38000.0,Diesel,Volkswagen,Polo
2014,335000.0,55000.0,Diesel,Maruti,Suzuki Swift
2015,450000.0,20000.0,Diesel,Hyundai,Elite i20 Asta 1.4 CRDI
2012,225000.0,40000.0,Petrol,Maruti,Suzuki Swift Dzire VXi 1.2 BS IV
2004,80000.0,50000.0,Petrol,Maruti,Suzuki Versa DX2 8 SEATER BSIII
2016,130000.0,104000.0,Diesel,Tata,Indigo LX TDI BS III
2011,245000.0,65000.0,Diesel,Volkswagen,Vento Konekt Diesel Highline
2002,399000.0,41000.0,Petrol,Mercedes,Benz C Class 200 CDI Classic
2013,450000.0,90000.0,Diesel,Maruti,Suzuki Ertiga VDi
2000,65000.0,80000.0,Petrol,Honda,City
2006,75000.0,46000.0,Petrol,Hyundai,Santro Xing GLS
2001,70000.0,70000.0,Petrol,Maruti,Suzuki Omni Limited Edition
2017,190000.0,36469.0,Diesel,Hyundai,Sonata Transform 2.4 GDi MT
2018,600000.0,7800.0,Petrol,Hyundai,Elite i20 Sportz 1.2
2011,245000.0,65000.0,Diesel,Volkswagen,Vento Konekt Diesel Highline
2017,240000.0,60000.0,Petrol,Maruti,Suzuki Alto 800 Lxi
